id|language|text
A1EApartado|EU|Gehikuntzak eta gutxitzeak. Kostu bidezkoak 3.000 arte.
A1F|ES|Premios, indemnizaciones, condonaciones de deuda, ganancias de juego, subvencion vivienda no habitual...
A1F|EU|Sariak, kalte-ordainak, zorren barkamena, irabaziak jokoan...
A1FApartado|ES|Incrementos y disminuciones. Premios y otros. Subvencion vivienda no habitual.
A1FApartado|EU|Gehikuntzak eta gutxitzeak. Sariak eta beste batzuk.
PYOMatriz|ES|Premios y otros incrementos y disminuciones (subvencion vivienda no habitual)
PYOMatriz|EU|Sariak eta beste gehikuntza eta gutxitze batzuk
A2G|ES|Compensaciones parte general
A2G|EU|Konpentsazioak zati orokorra
A2GApartado|ES|Compensaciones parte general (incrementos y disminuciones)
A2GApartado|EU|Konpentsazioak zati orokorra (gehikuntzak eta gutxitzeak)
A3I|ES|Vivienda habitual: Cuenta vivienda, Arrendamiento con opción de compra, Inversión vivienda habitual, Prestamo compra vivienda habitual
A3I|EU|Ohiko etxebizitza: Etxebizitza-kontua, errentamendua erosteko aukerarekin, ohiko etxebizitzarako inbertsioa, ohiko etxebizitza erosteko mailegua 
A3I_0101|ES|Cuenta vivienda para adquisición
A3I_0101|EU|Etxebizitza-kontua etxea erosteko
A3I_0102|ES|Cuenta vivienda para rehabilitación.
A3I_0102|EU|Etxebizitza-kontua etxea zaharberritzeko.
A3I_02|ES|Arrendamiento con opción de compra
A3I_02|EU|Errentamendua erosteko aukerarekin
A3I_0301|ES|Inversión vivienda habitual (construcción/terminación de obras) en adquisición
A3I_0301|EU|Ohiko etxebizitza erosteko inbertsioa (eraikuntza/obren amaiera)
E000151_Calle|ES|Calle
E000151_Calle|EU|Kalea
E000151_Avenida|ES|Avenida
E000151_Avenida|EU|Etorbidea
E000151_Camino|ES|Camino
E000151_Camino|EU|Bidea
E000151_Plaza|ES|Plaza
E000151_Plaza|EU|Kalea, plaza, etab.
E000151_Paseo|ES|Paseo
E000151_Paseo|EU|Pasealekua
E000151_ApartadoDeCorreos|ES|Apartado de Correos
E000151_ApartadoDeCorreos|EU|Posta kutxatila
E000151_Bajada|ES|Bajada
E000151_Bajada|EU|Jaitsiera
E000151_Bloque|ES|Bloque
E000151_Bloque|EU|Blokea
E000151_Barrio|ES|Barrio
E000151_Barrio|EU|Auzoa
E000151_Concejo|ES|Concejo
E000151_Concejo|EU|Kontzejua
E000151_Carretera|ES|Carretera
E000151_Carretera|EU|Errepidea
E000151_Caserio|ES|Caserio
E000151_Caserio|EU|Baserria
E000151_Diseminado|ES|Diseminado
E000151_Diseminado|EU|Zabaldua
E000151_Entrada|ES|Entrada
E000151_Entrada|EU|Sarrera
E000151_EstacionDeFerrocarril|ES|Estación de ferrocarril
E000151_EstacionDeFerrocarril|EU|Trenbidea
E000151_Glorieta|ES|Glorieta
E000151_Glorieta|EU|Biribilgunea
E000151_GrupoAgrupacion|ES|Grupo-Agrupación
E000151_GrupoAgrupacion|EU|Taldea
E000151_Jardines|ES|Jardines
E000151_Jardines|EU|Lorategiak
E000151_Mercado|ES|Mercado
E000151_Mercado|EU|Merkatua
E000151_Monte|ES|Monte
E000151_Monte|EU|Mendia
E000151_Manzana|ES|Manzana
E000151_Manzana|EU|Sagarra
E000151_Poligono|ES|Polígono
E000151_Poligono|EU|Poligonoa
E000151_Pasaje|ES|Pasaje
E000151_Pasaje|EU|Paisaia
E000151_Parque|ES|Parque
E000151_Parque|EU|Parkea
E000151_Paraje|ES|Paraje
E000151_Paraje|EU|Parajea
E000151_Ronda|ES|Ronda
E000151_Ronda|EU|Txanda
E000151_Subida|ES|Subida
E000151_Subida|EU|Igoera
E000151_Travesia|ES|Travesía
E000151_Travesia|EU|Zeharbidea
E000151|ES|Indiquese si es calle, plaza, avenida, etc...
E000151|EU|Adierazi K., PL., etorbidea den,..
E000251|ES|Nombre DE LA CALLE, PLAZA O AVENIDA
E000251|EU|KALE, PLAZA EDO ETORBIDEAREN Izena
E000351|ES|Nº
E000351|EU|ZK.
E000451|ES|Escalera
E000451|EU|ESKAILERA
E000551|ES|Piso
E000551|EU|SOLAIRUA
E000651|ES|Puerta
E000651|EU|ATEA
E000751|ES|Localidad
E000751|EU|Herria
E000851|ES|Provincia
E000851|EU|PROBINTZIA
E000951|ES|Código postal
E000951|EU|POSTA KODEA
E001051_NoProcede|ES|No procede aplicación
E001051_NoProcede|EU|Ez dagokio aplikatzea
E001051_AdquisicionProtegida|ES|Por adquisicion vivienda protegida
E001051_AdquisicionProtegida|EU|Babestutako etxebizitza erostegatik
E001051|ES|Incremento deducción por aplicación LF 6/2009
E001051|EU|6/2009 FL aplikatzeagatik kenkaria handitzea
A3I_0302|ES|Inversión vivienda habitual (construcción/terminación de obras) en rehabilitación
A3I_0302|EU|Ohiko etxebizitza birgaitzeko inbertsioa (eraikuntza/obren amaiera)
E000161_Calle|ES|Calle
E000161_Calle|EU|Kalea
E000161_Avenida|ES|Avenida
E000161_Avenida|EU|Etorbidea
E000161_Camino|ES|Camino
E000161_Camino|EU|Bidea
E000161_Plaza|ES|Plaza
E000161_Plaza|EU|Kalea, plaza, etab.
E000161_Paseo|ES|Paseo
E000161_Paseo|EU|Pasealekua
E000161_ApartadoDeCorreos|ES|Apartado de Correos
E000161_ApartadoDeCorreos|EU|Posta kutxatila
E000161_Bajada|ES|Bajada
E000161_Bajada|EU|Jaitsiera
E000161_Bloque|ES|Bloque
E000161_Bloque|EU|Blokea
E000161_Barrio|ES|Barrio
E000161_Barrio|EU|Auzoa
E000161_Concejo|ES|Concejo
E000161_Concejo|EU|Kontzejua
E000161_Carretera|ES|Carretera
E000161_Carretera|EU|Errepidea
E000161_Caserio|ES|Caserio
E000161_Caserio|EU|Baserria
E000161_Diseminado|ES|Diseminado
E000161_Diseminado|EU|Zabaldua
E000161_Entrada|ES|Entrada
E000161_Entrada|EU|Sarrera
E000161_EstacionDeFerrocarril|ES|Estación de ferrocarril
E000161_EstacionDeFerrocarril|EU|Trenbidea
E000161_Glorieta|ES|Glorieta
E000161_Glorieta|EU|Biribilgunea
E000161_GrupoAgrupacion|ES|Grupo-Agrupación
E000161_GrupoAgrupacion|EU|Taldea
E000161_Jardines|ES|Jardines
E000161_Jardines|EU|Lorategiak
E000161_Mercado|ES|Mercado
E000161_Mercado|EU|Merkatua
E000161_Monte|ES|Monte
E000161_Monte|EU|Mendia
E000161_Manzana|ES|Manzana
E000161_Manzana|EU|Sagarra
E000161_Poligono|ES|Polígono
E000161_Poligono|EU|Poligonoa
E000161_Pasaje|ES|Pasaje
E000161_Pasaje|EU|Paisaia
E000161_Parque|ES|Parque
E000161_Parque|EU|Parkea
E000161_Paraje|ES|Paraje
E000161_Paraje|EU|Parajea
E000161_Ronda|ES|Ronda
E000161_Ronda|EU|Txanda
E000161_Subida|ES|Subida
E000161_Subida|EU|Igoera
E000161_Travesia|ES|Travesía
E000161_Travesia|EU|Zeharbidea
