id;description;type;enum;format;minimum;exclusiveMinimum;maximum;exclusiveMaximum;minLength;maxLength;uniqueItems;minItems;multipleOf;maxItems;properties;required;discriminator;oneOf;allOf;readOnly;menuItem;expandible
entrega;;object;;;;;;;;;;;;;secuencias;;;;;;false;false
secuencias;;array;;;;;;;;;;1;;;secuencia;;;;;;false;false
secuencia;;object;;;;;;;;;;;;;asignacionTributaria,importe,tipoPago,plazo1,plazo2,modoPago,generaDeclaracion,idioma,C099601,C099605;idioma,asignacionTributaria,generaDeclaracion;generaDeclaracion;siGeneraDeclaracion,noGeneraDeclaracion;domicilio,sujetoPasivo,cuentaBancaria;;false;false
sujetoPasivo;;object;;;;;;;;;;;;;nif,sexo;sexo,nif;;;;;false;false
cuentaBancaria;;object;;;;;;;;;;;;;prefijoIBAN,entidad,sucursal,dc,ncuenta;;;;;;false;false
siGeneraDeclaracion;;object;;;;;;;;;;;;;generaDeclaracion:siGenera;domicilio,sujetopasivo,cuentaBancaria,importe;;;;;false;false
noGeneraDeclaracion;;object;;;;;;;;;;;;;generaDeclaracion:noGenera;;;;;;false;false
09Apartado;Apartado;object;;;;;;;;;;;;;Q000151,Q000251,Q000351;;;;;;false;false
A1A_IOVector;Vector;object;;;;;;;;;;;;;O000151,C066401,C066501,C665301,C066601,C066701,C066801,C067401;O000151,C066401;C066401;A1A_IOVectorBienesTerrenos,A1A_IOVectorTerrenosRecalificados,A1A_IOVectorAccionesOtros;;;false;false
A1A_IOVectorBienesTerrenos;;object;;;;;;;;;;;;;C066401:C066401E_BienesTerrenos;C066401;;;;;false;false
A1A_IOVectorTerrenosRecalificados;;object;;;;;;;;;;;;;C066401:C066401E_TerrenosRecalificados,C670001;C066401;;;;;false;false
A1A_IOVectorAccionesOtros;;object;;;;;;;;;;;;;C066401:C066401E_AccionesOtros,W000141,W000140,W000142,W000241,C165902,S001171,S002171,S003171,S004171,S005171,S001271,S002271,S003271,S004271,S005271,S001371,S002371,S003371,S004371,S005371;C066401;;;;;false;false
EOVector;Vector;object;;;;;;;;;;;;;B001001,B001011,B001101,B001111,B001201,B001211,B002001,B002011,B002101,B002111,B002201,B002211,B003011,B003111,B003211,B036701,B036711,B036801,C030101,C030201,C030202,C030300,C030301,C030501,C030600,C030601,C030801,C030900,C030901,C031101,C031200,C031201,C031401,C031500,C031501,C031701,C031800,C031801,C032001,C032100,C032101,O000131,O000231,O000331,O000531,O000431,C032402,C032502,C032503,C032504,C032506,C032602,C032801,C230101,C232001,C232100,C232101,Lista008,Lista008B,Lista024,Lista023;O000131,O000331,O000431,C030101;;;;;false;false
A1A_BAVector;Vector;object;;;;;;;;;;;;;O000161,C069001,C069101,C665501,C069201,C069301,C069302,C069401,C069801,C070101,C077601,C077701;O000161,C069001;C069001;A1A_BAVectorBienes,A1A_BAVectorTerrenosRusticos,A1A_BAVectorTerrenosRusticosRecalificados,A1A_BAVectorTotalidadPatrimonioEmpProf;;;false;false
A1A_BAVectorBienes;;object;;;;;;;;;;;;;C069001:C069001E_Bienes;C069001;;;;;false;false
A1A_BAVectorTerrenosRusticos;;object;;;;;;;;;;;;;C069001:C069001E_TerrenosRusticos;C069001;;;;;false;false
A1A_BAVectorTerrenosRusticosRecalificados;;object;;;;;;;;;;;;;C069001:C069001E_TerrenosRusticosRecalificados,C670201;C069001;;;;;false;false
A1A_BAVectorTotalidadPatrimonioEmpProf;;object;;;;;;;;;;;;;C069001:C069001E_TotalidadPatrimonioEmpProf,S001191,S002191,S003191,S004191,S005191,S001291,S002291,S003291,S004291,S005291,S001391,S002391,S003391,S004391,S005391;C069001;;;;;false;false
A5X;Seccion;object;;;;;;;;;;;;;A5XApartado;;;;;;false;true
